Index,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
935,2021/06/29,279.00,-5.1,304.00,278.00,290.00,"10,422","2,989,587.00"
936,2021/06/28,294.00,-2,305.00,293.00,305.00,"11,272","3,346,120.00"
937,2021/06/27,300.00,-1.96,319.00,299.00,306.00,"13,777","4,216,222.00"
938,2021/06/24,306.00,-3.47,324.00,303.00,303.00,"14,829","4,567,025.00"
939,2021/06/23,317.00,6.02,322.00,294.00,313.00,"38,591","11,863,369.00"
940,2021/06/22,299.00,9.93,299.00,268.00,272.00,"12,463","3,605,867.00"
941,2021/06/21,272.00,-7.8,295.00,268.00,290.00,"26,926","7,525,924.00"
942,2021/06/20,295.00,-7.81,316.00,288.00,314.00,"29,477","8,853,828.00"
943,2021/06/17,320.00,-1.23,335.00,294.00,318.00,"38,875","12,125,746.00"
944,2021/06/16,324.00,-9.75,350.00,324.00,342.00,"59,978","19,749,589.00"
945,2021/06/15,359.00,1.7,387.00,335.00,369.00,"105,747","38,700,093.00"
946,2021/06/14,352.00,10,352.00,336.00,336.00,"39,973","14,042,786.00"
947,2021/06/13,320.00,9.97,320.00,294.00,300.00,"74,219","23,116,412.00"
948,2021/06/10,291.00,4.04,270.00,270.00,270.00,"34,063","14,547,270.00"
949,2021/06/09,272.00,-2.86,282.00,267.00,282.00,"17,918","4,910,560.00"
950,2021/06/08,280.00,4.09,283.00,270.00,270.00,"30,981","8,664,389.00"
951,2021/06/07,269.00,8.91,270.00,243.00,243.00,"34,641","9,063,045.00"
952,2021/06/06,247.00,-5,258.00,235.00,247.00,"35,460","8,677,518.00"
953,2021/06/03,260.00,-4.41,277.00,260.00,267.00,"31,757","8,398,504.00"
954,2021/06/02,274.00,2.24,282.00,260.00,268.00,"51,052","13,239,968.00"
955,2021/06/01,268.00,-3.6,281.00,260.00,265.00,"22,902","6,211,908.00"
956,2021/05/31,278.00,-6.71,306.00,270.00,300.00,"66,172","18,666,047.00"
957,2021/05/30,298.00,9.96,298.00,275.00,280.00,"122,538","36,164,569.00"
