Index,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
342,2024/01/08,335.00,7.37,336.20,318.20,318.20,"86,549","28,522,563.40"
343,2024/01/07,312.00,-4.88,360.80,312.00,328.00,"96,281","31,023,049.10"
344,2024/01/04,328.00,-1.26,339.00,321.50,338.80,"119,807","39,660,996.50"
345,2024/01/03,332.20,10,332.20,295.10,296.20,"102,531","31,971,239.00"
346,2024/01/02,302.00,0.7,322.50,297.00,300.00,"65,546","20,109,917.90"
347,2024/01/01,299.90,0.64,321.40,293.10,293.10,"63,615","19,245,981.80"
348,2023/12/28,298.00,-1.32,308.00,290.00,296.00,"37,986","11,325,885.30"
349,2023/12/27,302.00,-0.98,312.00,296.00,300.00,"26,155","7,929,464.50"
350,2023/12/24,305.00,2.69,323.90,292.00,292.00,"68,883","20,941,484.70"
351,2023/12/21,297.00,-3.88,306.00,292.10,303.00,"31,474","9,393,901.50"
352,2023/12/20,309.00,5.1,321.40,289.00,289.00,"71,232","21,821,929.10"
353,2023/12/19,294.00,-1.01,300.00,276.00,297.00,"26,033","7,526,249.10"
354,2023/12/18,297.00,0.41,308.10,290.20,290.20,"68,958","20,663,374.90"
355,2023/12/17,295.80,9.84,296.20,262.00,264.00,"70,099","20,044,488.90"
356,2023/12/14,269.30,6.23,276.00,252.00,252.00,"39,108","10,500,578.00"
357,2023/12/13,257.00,-4.1,279.00,256.00,263.10,"42,860","11,491,924.30"
358,2023/12/12,268.00,2.29,270.00,243.00,256.80,"47,145","12,440,218.60"
359,2023/12/11,262.00,5.86,267.30,233.00,252.00,"40,057","9,890,700.30"
360,2023/12/10,247.50,5.77,252.00,238.00,238.60,"1,390","345,892.00"
361,2023/12/07,234.00,1.74,234.70,222.50,225.40,"6,418","1,479,455.20"
362,2023/12/06,230.00,0.88,232.00,221.30,224.00,"11,750","2,648,483.00"
363,2023/12/05,228.00,-0.87,234.60,225.10,227.00,"5,875","1,337,653.50"
